var_index,gene,bin
4971,LHX4,5
4972,RNF2,17
4973,TRMT1L,18
4974,SEC22A,17
4975,CSTA,7
4976,DPPA4,3
4977,POPDC2,11
4978,B4GALT4,15
4979,NAA50,16
4980,CD80,21
4981,KIF18A,15
4982,GJA8,0
4983,DESI2,20
4984,MAPK8IP1,8
4985,CRY2,15
4986,PEX16,12
4987,DEPDC7,10
4988,CAT,19
4989,PILRB,19
4990,ZMYM2,21
4991,GJB6,11
4992,GJA3,8
4993,TBC1D15,22
4994,ADGRB2,8
4995,HCRTR1,1
4996,ZCCHC17,15
4997,FABP3,5
4998,KHDRBS1,23
4999,TMEM39B,17
5000,CCRL2,10
5001,CCR2,16
5002,POLR3GL,16
5003,GHSR,4
5004,TNFSF10,24
5005,ZNF639,17
5006,SLITRK3,4
5007,PIK3CA,18
5008,PDS5A,22
5009,TMEM156,17
5010,LIAS,16
5011,CPXM2,1
5012,TMEM54,9
5013,ZSCAN20,9
5014,CSMD2,3
5015,HPCA,8
5016,LRIF1,19
5017,TMIGD3,8
5018,CLCC1,17
5019,GPSM2,16
5020,GTDC1,17
5021,CXCR4,24
5022,ZRANB3,11
5023,ACVR2A,13
5024,POLK,19
5025,SV2C,8
5026,FLT3,4
5027,MTIF3,20
5028,GTF3A,24
5029,RASL11A,11
5030,UBL3,20
5031,FYTTD1,22
5032,MTERF4,19
5033,XPNPEP2,8
5034,SASH3,24
5035,OCRL,11
5036,PAEP,1
5037,OBP2A,2
5038,TBX22,0
5039,FMOD,10
5040,MYOG,3
5041,LAX1,15
5042,PLG,1
5043,KIAA1191,12
5044,COPA,24
5045,CD244,10
5046,LY9,12
5047,HS3ST2,2
5048,RBBP6,21
5049,ZC3H7A,19
5050,PRM2,0
5051,SERAC1,12
5052,ANXA11,24
5053,LDB3,0
5054,OPN4,1
5055,SHLD2,22
5056,PRXL2A,14
5057,ZNF205,7
5058,NAA60,17
5059,ODF2L,12
5060,PTGFR,2
5061,SPATA1,8
5062,TRMT13,15
5063,LRRC39,9
5064,RWDD3,15
5065,ZNF644,24
5066,CCDC18,16
5067,RPAP2,18
5068,SLC66A2,15
5069,BBS9,13
5070,PMS2,18
5071,ZMIZ2,21
5072,SEPTIN7,21
5073,EEPD1,10
5074,KLHL7,16
5075,HERPUD2,20
5076,CBX3,24
5077,HNRNPA2B1,24
5078,WIPF3,3
5079,NXPH1,0
5080,NPY,4
5081,HYCC1,23
5082,HOXA7,4
5083,INHBA,8
5084,FKBP9,8
5085,NT5C3A,18
5086,ARL4A,14
5087,CCZ1,6
5088,POLM,13
5089,RAMP3,4
5090,MRM2,17
5091,TWIST1,9
5092,SMU1,21
5093,GLIPR2,18
5094,SLC25A51,16
5095,CLTA,21
5096,RECK,12
5097,SPINK4,4
5098,TAF1L,3
5099,ACO1,13
5100,PHF24,6
5101,DNAI1,5
5102,DCAF10,17
5103,CNTFR,6
5104,KIAA1549,10
5105,TRIM24,17
5106,CYREN,16
5107,CALD1,12
5108,AKR1D1,2
5109,NUDT10,6
5110,SFTPA1,3
5111,NEUROG3,7
5112,PLAU,11
5113,SRGN,24
5114,CHST3,8
5115,BICC1,9
5116,CISD1,22
5117,EGR2,18
5118,ECD,18
5119,P4HA1,21
5120,SLC25A16,16
5121,ZWINT,21
5122,VPS26A,23
5123,RBM19,22
5124,CIT,18
5125,IFT81,11
5126,ACADS,13
5127,HVCN1,15
5128,DDX54,22
5129,MED13L,17
5130,CDKN2C,18
5131,RNF11,19
5132,RASSF8,9
5133,BHLHE41,6
5134,SSPN,4
5135,ITPR2,19
5136,CCDC91,18
5137,WWP1,19
5138,ACOT9,21
5139,PRDX4,22
5140,DDX39A,24
5141,PKN1,22
5142,TRIR,24
5143,ADGRE5,24
5144,WDR83,15
5145,GIPC1,16
5146,ACTRT1,1
5147,CCDC70,6
5148,SPRYD7,14
5149,EBPL,17
5150,ATP7B,9
5151,ZC3H13,19
5152,NLN,17
5153,CENPK,16
5154,OPTN,24
5155,ITIH5,4
5156,ATF1,21
5157,TSFM,19
5158,NEUROD4,3
5159,ARHGAP9,19
5160,NCKAP1L,23
5161,MMP19,6
5162,PFDN5,22
5163,SPATS2,16
5164,ORMDL2,22
5165,NR4A1,13
5166,PDE1B,14
5167,HOXC13,0
5168,CDK2,20
5169,LRP1,9
5170,HOXC11,1
5171,ATG101,21
5172,NFE2,7
5173,HOXC12,0
5174,IKZF4,16
5175,SMUG1,14
5176,TUBA1B,24
5177,EEF1AKMT3,11
5178,KBTBD4,17
5179,SARDH,8
5180,DBH,0
5181,ATPAF1,21
5182,STIL,19
5183,HJURP,20
5184,IL13RA2,1
5185,COL10A1,3
5186,AMD1,22
5187,NDUFAF4,19
5188,USP45,18
5189,PLP1,1
5190,SERPINA7,0
5191,MORF4L2,19
5192,H2BW1,1
5193,RAB9B,9
5194,NRK,3
5195,FAM199X,16
5196,ESX1,5
5197,ATXN3L,1
5198,RAB9A,14
5199,METTL8,15
5200,TTC21B,16
5201,NMI,23
5202,TNFAIP6,5
5203,ACVR1C,11
5204,BAZ2B,12
5205,SLC36A1,13
5206,LPGAT1,21
5207,BATF3,18
5208,G0S2,20
5209,KCNJ2,5
5210,RAP2C,22
5211,EXOSC9,22
5212,PLA2G12A,16
5213,B9D2,13
5214,COQ8B,13
5215,PFKFB2,11
5216,C4BPA,0
5217,C4BPB,11
5218,RAB38,15
5219,GPR83,7
5220,AGO2,24
5221,MXD4,17
5222,CKS2,24
5223,DAW1,3
5224,ACSL3,19
5225,CHPF,17
5226,DNPEP,22
5227,INHA,4
5228,MOGAT1,2
5229,OBSL1,7
5230,FAM124B,10
5231,SLC12A4,15
5232,ENKD1,13
5233,MC3R,3
5234,GCNT7,0
5235,CTCFL,1
5236,FAM210B,13
5237,PI3,4
5238,SNX21,9
5239,SLPI,5
5240,WFDC3,7
5241,TTPAL,15
5242,PREX1,23
5243,KCNS1,9
5244,SLC12A5,3
5245,ARHGAP40,5
5246,SDC4,22
5247,NCOA3,23
5248,PIGT,20
5249,SEMG2,2
5250,NCOA5,17
5251,VAPB,19
5252,PARD6B,13
5253,ATP5F1E,22
5254,CHD6,14
5255,PLCG1,24
5256,TOX2,10
5257,SRSF6,12
5258,GDAP1L1,7
5259,GTSF1L,6
5260,ARFGEF2,20
5261,ZNFX1,20
5262,ZNF831,12
5263,EDN3,8
5264,CSE1L,21
5265,RAB22A,19
5266,PTGIS,19
5267,STAU1,23
5268,CDH26,9
5269,SNAI1,7
5270,MOCS3,15
5271,STX16,23
5272,PMEPA1,7
5273,RNF114,21
5274,ANKRD60,3
5275,DDX27,22
5276,RBPJL,5
5277,SEMG1,3
5278,C20orf85,0
5279,BCAS4,13
5280,KCNK15,8
5281,TP53TG5,5
5282,PCK1,1
5283,ZBP1,11
5284,NEURL2,10
5285,MAGEA10,2
5286,MTRR,18
5287,FASTKD3,13
5288,PEPD,17
5289,CHST8,4
5290,IQSEC2,9
5291,VAMP7,21
5292,IL9R,14
5293,XG,4
5294,STAMBP,20
5295,NAGK,18
5296,MCEE,16
5297,PAIP2B,11
5298,SNRNP27,17
5299,MPHOSPH10,19
5300,IL17C,7
5301,ATP8A1,17
5302,USP22,20
5303,POF1B,8
5304,HIF3A,1
5305,ZNF576,13
5306,IRGC,1
5307,ZNF45,12
5308,LYPD3,10
5309,CEACAM8,0
5310,NDP,2
5311,USP9X,24
5312,CRISP2,0
5313,F13A1,3
5314,GRM4,4
5315,TRERF1,14
5316,PACSIN1,8
5317,BTN2A2,13
5318,SIRT5,13
5319,MRS2,17
5320,WRNIP1,21
5321,RRP36,22
5322,BTN1A1,6
5323,SNRPC,24
5324,SLC17A3,8
5325,SLC17A1,6
5326,SERPINB6,14
5327,XPO5,23
5328,H1-3,24
5329,PEX6,13
5330,NQO2,17
5331,OARD1,21
5332,UNC5CL,10
5333,AARS2,16
5334,H1-1,14
5335,ZNF391,9
5336,MOCS1,5
5337,MED20,17
5338,OR2B6,7
5339,TBCC,19
5340,SPDEF,7
5341,TCP11,6
5342,MAD2L1BP,20
5343,APOBEC2,3
5344,KLHDC3,22
5345,GNMT,10
5346,DNAH8,7
5347,TREM1,8
5348,MEA1,20
5349,KLHL31,3
5350,COL21A1,3
5351,CDKN1A,21
5352,SOX4,11
5353,GLO1,22
5354,CPNE5,10
5355,KCNK17,2
5356,RREB1,15
5357,SSR1,19
5358,RIOK1,19
5359,NRN1,12
5360,SLC35B3,14
5361,RPP40,14
5362,ATXN1,21
5363,NUP153,23
5364,DEK,24
5365,EEF1E1,18
5366,CRISP1,2
5367,RUNX2,21
5368,OPN5,1
5369,GCM2,3
5370,LRRFIP1,24
5371,RAB17,6
5372,CXCL6,3
5373,EREG,3
5374,TRIM51,2
5375,MYRF,10
5376,SCGB1D2,0
5377,SCGB2A1,2
5378,AHNAK,23
5379,EMC3,22
5380,SSUH2,7
5381,WNT1,7
5382,SH3TC1,12
5383,CNOT1,15
5384,BBS2,13
5385,MT1G,9
5386,MT2A,18
5387,PHAF1,16
5388,GOT2,24
5389,DOK4,13
5390,PIWIL1,0
5391,GPR18,14
5392,CLYBL,12
5393,TMTC4,13
5394,RAP2A,22
5395,SLC10A2,0
5396,ABCC4,16
5397,EFNB2,9
5398,SOX21,3
5399,TM9SF2,24
5400,HROB,14
5401,KIF25,1
5402,IRF1,22
5403,UPF3B,14
5404,RNF113A,19
5405,SEPTIN6,24
5406,TMEM255A,6
5407,NDUFA1,24
5408,AMELX,0
5409,DMAC2L,17
5410,BMP4,6
5411,PTGER2,24
5412,FAM193A,17
5413,GRK4,12
5414,SOX9,1
5415,TEKT3,6
5416,MYH2,0
5417,HS3ST3B1,17
5418,SLC25A35,12
5419,GGA3,20
5420,ARMC7,15
5421,NUP85,20
5422,SLC25A19,17
5423,MIF4GD,20
5424,NT5C,19
5425,MSTO1,18
5426,MIR9-1HG,9
5427,TTF1,19
5428,GTF3C4,17
5429,DDX31,16
5430,BARHL1,2
5431,PPP1R12C,14
5432,MBOAT7,23
5433,SRMS,4
5434,OPRL1,8
5435,SLC2A4RG,15
5436,NPBWR2,3
5437,FNDC11,8
5438,BHLHE23,3
5439,PPDPF,22
5440,IL1B,5
5441,PLGLB2,12
5442,IL37,9
5443,CHCHD5,20
5444,PAX8,7
5445,INSIG2,20
5446,POLR1B,21
5447,CCDC93,16
5448,PSD4,24
5449,SLC25A23,15
5450,PSPN,9
5451,GTF2F1,22
5452,ALKBH7,16
5453,CLPP,24
5454,TNFSF9,11
5455,GRIA3,2
5456,THOC2,19
5457,MED1,21
5458,ATG4C,15
5459,CD70,20
5460,C3,10
5461,SH2D3A,13
5462,TRIP10,15
5463,GPR108,21
5464,TNFSF14,18
5465,FOSB,10
5466,OPA3,14
5467,SNRPD2,24
5468,RTN2,11
5469,EML2,21
5470,VASP,24
5471,SYMPK,22
5472,GPCPD1,19
5473,SDCBP2,10
5474,PANK2,12
5475,TGM3,5
5476,GNRH2,10
5477,DEFB126,1
5478,FOXA2,3
5479,CD93,9
5480,GZF1,14
5481,PAX1,0
5482,NAPB,14
5483,CST8,2
5484,NKX2-4,4
5485,CENPB,20
5486,PSMF1,23
5487,NKX2-2,3
5488,DTD1,20
5489,CSTL1,4
5490,RBCK1,16
5491,TMX4,18
5492,CST11,1
5493,STK35,15
5494,SNRPB,23
5495,NRSN2,9
5496,AP5S1,15
5497,RRBP1,18
5498,BMP2,6
5499,ZNF133,13
5500,FLRT3,2
5501,OVOL2,4
5502,PCSK2,3
5503,GFRA4,4
5504,MKKS,15
5505,BFSP1,12
5506,DSTN,22
5507,LAMP5,4
5508,SNRPB2,24
5509,MGME1,21
5510,LRRN4,5
5511,TBC1D20,20
5512,ITPA,19
5513,TCF15,5
5514,OTOR,6
5515,MCM8,20
5516,BANF2,2
5517,TMEM74B,8
5518,FAM110A,12
5519,SIRPD,5
5520,DEFB129,1
5521,S1PR4,23
5522,NCLN,22
5523,CITED1,7
5524,HNRNPR,21
5525,ZNF436,14
5526,MAX,23
5527,ARMCX5,13
5528,GDF5,5
5529,MMP24,7
5530,NECAB3,18
5531,ID1,10
5532,RALY,22
5533,DYNLRB1,23
5534,C20orf173,1
5535,EIF2S2,16
5536,ERGIC3,23
5537,ROMO1,23
5538,FAM83C,5
5539,BPIFB1,1
5540,CEP250,15
5541,PLAGL2,23
5542,MMP24OS,20
5543,GRPR,7
5544,KDM5C,24
5545,AMOT,8
5546,TMEM115,15
5547,PSMB2,24
5548,AGO3,13
5549,UROD,19
5550,ST3GAL3,16
5551,TMEM53,12
5552,HECTD3,17
5553,KLC1,19
5554,XRCC3,14
5555,TUBGCP3,21
5556,MCF2L,7
5557,F10,3
5558,PCID2,22
5559,PROZ,6
5560,SLURP1,2
5561,LRFN3,12
5562,IGFLR1,21
5563,CAPNS1,24
5564,PDCD2L,17
5565,RBM42,21
5566,KIRREL2,9
5567,UBA2,23
5568,FFAR2,1
5569,HCST,19
5570,FFAR1,7
5571,COX6B1,21
5572,KRT36,1
5573,THRA,12
5574,CCR7,17
5575,NR1D1,13
5576,FRMD8,9
5577,PRDX5,21
5578,BCL2L12,17
5579,IRF3,18
5580,PRMT1,23
5581,RRAS,12
5582,PRRG2,10
5583,SCAF1,19
5584,PRR12,18
5585,TSKS,10
5586,FLRT1,7
5587,ASL,16
5588,SBDS,16
5589,CSN1S1,1
5590,STATH,4
5591,HTN1,0
5592,STAT5A,21
5593,WNK4,7
5594,BECN1,21
5595,PRKCG,6
5596,TRAP1,24
5597,GLIS2,9
5598,NSRP1,17
5599,DNAJC8,24
5600,AHDC1,16
5601,IFI6,23
5602,DACH2,1
5603,ZNF384,20
5604,EMG1,23
5605,UXT,24
5606,CFP,13
5607,ELK1,18
5608,TIMM17B,14
5609,PCNX4,14
5610,ATG14,13
5611,KTN1,22
5612,SIX1,10
5613,RHOJ,0
5614,DLGAP5,22
5615,L3HYPDH,14
5616,HSPA2,12
5617,ZBTB1,23
5618,TRMT5,16
5619,SGPP1,19
5620,PLEKHG3,17
5621,PZP,2
5622,PRDM7,2
5623,RHOT1,20
5624,EVI2A,23
5625,OMG,9
5626,DYNC2I1,15
5627,AIF1L,11
5628,FAM78A,22
5629,NUP214,16
5630,CTAG2,5
5631,AVPR2,5
5632,SLC10A3,18
5633,MAP2K2,23
5634,HNRNPH2,19
5635,ARMCX1,8
5636,TMEM35A,1
5637,TIMM8A,18
5638,ZC4H2,13
5639,CANX,23
5640,INTS11,20
5641,RGS13,7
5642,IPPK,14
5643,ZNF484,15
5644,OMD,2
5645,FGD3,23
5646,HIVEP3,21
5647,PPCS,16
5648,EDN2,5
5649,BCL11B,22
5650,COX7C,18
5651,TRAF2,19
5652,ABHD8,13
5653,MASP1,2
5654,ATP13A4,10
5655,PLAAT1,7
5656,HELB,20
5657,IL22,12
5658,TSPAN8,2
5659,BEST3,3
5660,RAB3IP,18
5661,PTPRB,5
5662,DYRK2,21
5663,YEATS4,21
5664,TAS2R4,12
5665,CRYGN,8
5666,LRRC61,13
5667,TRPV5,5
5668,IDUA,13
5669,FGFRL1,10
5670,TMEM175,14
5671,AUNIP,13
5672,PIN1,17
5673,FBXL12,15
5674,EMC1,17
5675,PLA2G5,3
5676,UBR4,23
5677,HP1BP3,20
5678,ADGRE2,9
5679,SIN3B,18
5680,OR7A10,2
5681,SLC35E1,20
5682,EPS15L1,17
5683,KLF2,23
5684,OR7C2,1
5685,OR7C1,0
5686,F2RL3,9
5687,UQCR11,21
5688,GFER,17
5689,SYNGR3,14
5690,PKMYT1,17
5691,WFIKKN1,9
5692,WDR24,16
5693,FBXL16,13
5694,CHTF18,14
5695,GNG13,5
5696,MACF1,23
5697,SMARCA4,23
5698,KDM4B,19
5699,TICAM1,18
5700,METTL25,13
5701,IL17B,4
5702,EMC6,21
5703,METTL16,18
5704,TUBA4A,24
5705,VIL1,6
5706,AAMP,23
5707,PNKD,17
5708,TNFRSF19,7
5709,RNF6,20
5710,ECHS1,21
5711,ZNF835,7
5712,AKAP9,20
5713,GNG11,6
5714,SEM1,23
5715,GNGT1,2
5716,HIP1,10
5717,PTPN12,17
5718,POR,16
5719,FGL2,13
5720,STYXL1,15
5721,STEAP4,5
5722,GNAI1,13
5723,PEX1,14
5724,MTERF1,15
5725,SGCE,7
5726,RBM48,11
5727,CASD1,17
5728,ZNF780B,12
5729,LRFN1,12
5730,ZFP36,17
5731,SRD5A3,18
5732,SPINK2,11
5733,RASL11B,7
5734,PAICS,22
5735,KDR,2
5736,PPAT,18
5737,TUBGCP6,19
5738,ADM2,11
5739,DGCR8,18
5740,ASPHD2,16
5741,VPREB3,7
5742,SDF2L1,20
5743,GAL3ST1,6
5744,YWHAH,18
5745,RFPL1,6
5746,RFPL2,8
5747,GNAZ,8
5748,MGAT3,11
5749,ADORA2A,16
5750,ATF4,21
5751,A4GALT,8
5752,RFPL3,6
5753,CDC42EP1,10
5754,APOL3,20
5755,MCHR1,4
5756,TPST2,15
5757,BAIAP2L2,8
5758,MPST,18
5759,GALR3,5
5760,TST,12
5761,APOL5,4
5762,IGLL1,5
5763,APOL2,23
5764,RAC2,24
5765,LIF,19
5766,C22orf23,6
5767,APOBEC3A,5
5768,APOBEC3F,17
5769,RIBC2,11
5770,KRT17,7
5771,EMC4,23
5772,RNF112,8
5773,SPECC1,11
5774,CPA4,2
5775,DOCK4,9
5776,POT1,18
5777,TAS2R16,0
5778,ATP6V1F,18
5779,LSM8,23
5780,CDHR3,6
5781,VGF,7
5782,PODXL,10
5783,FOXP2,6
5784,STRIP2,19
5785,IFT22,12
5786,MKLN1,22
5787,DNAJB9,17
5788,FLNC,5
5789,LRRC4,8
5790,CALU,22
5791,CCDC136,10
5792,SMO,7
5793,IRF5,13
5794,LRRC17,8
5795,KLHDC10,16
5796,NDUFA5,23
5797,FEZF1,1
5798,OPN1SW,3
5799,MYO1B,13
5800,HOXD1,5
5801,HOXD3,1
5802,MTX2,21
5803,PDE11A,5
5804,CHN1,11
5805,GAD1,12
5806,OSGEPL1,13
5807,ORMDL1,23
5808,HAT1,22
5809,HOXD9,4
5810,HOXD10,4
5811,HOXD11,2
5812,HOXD13,2
5813,HERC2,17
5814,SNRPN,19
5815,PSMG2,23
5816,TWSG1,17
5817,ARHGAP22,4
5818,WDFY4,3
5819,EIF2AK4,20
5820,MYO5C,8
5821,CGNL1,2
5822,TMOD2,12
5823,TTBK2,13
5824,ELL3,10
5825,CCDC32,19
5826,INO80,17
5827,ICE2,16
5828,DLL4,6
5829,ALDH1A2,6
5830,MINDY2,16
5831,IVD,15
5832,KNSTRN,19
5833,DUT,23
5834,CHAC1,13
5835,CLN6,21
5836,ARPP19,23
5837,VPS13C,21
5838,CALML4,12
5839,ISLR,3
5840,THAP10,6
5841,LOXL1,10
5842,ACKR4,8
5843,ANAPC13,20
5844,MBD4,19
5845,COPB1,24
5846,PSMA1,21
5847,SUMF2,24
5848,PALLD,14
5849,SPCS3,23
5850,BBOX1,0
5851,MYOD1,2
5852,SERGEF,15
5853,KCNC1,2
5854,TPH1,10
5855,CSRP3,2
5856,E2F8,15
5857,DCTD,23
5858,SOX15,7
5859,PIMREG,11
5860,RPAIN,22
5861,USP6,1
5862,SHBG,7
5863,PLD2,11
5864,AIPL1,2
5865,CD68,14
5866,TXNDC17,24
5867,ATP1B2,8
5868,FXR2,20
5869,KIF1C,19
5870,MPDU1,21
5871,PHF20L1,21
5872,DNAAF11,9
5873,CCNT1,20
5874,PUS7L,18
5875,KRI1,21
5876,ILF3,24
5877,SLC44A2,23
5878,AP1M2,3
5879,CDKN2D,20
5880,MTUS1,11
5881,KLK14,5
5882,SIGLEC9,8
5883,KLK10,4
5884,KLK8,2
5885,NGDN,20
5886,RIPK3,14
5887,ADCY4,10
5888,RAB2B,18
5889,BCL2L2,11
5890,AJUBA,9
5891,DTD2,16
5892,PARP2,14
5893,HEATR5A,10
5894,FOXA1,6
5895,SNX6,24
5896,EAPP,20
5897,EGLN3,15
5898,MIS18BP1,22
5899,NRL,11
5900,RNASE1,6
5901,NEDD8,22
5902,DAD1,13
5903,TEP1,14
5904,EPB41L4A,10
5905,CDO1,10
5906,REEP5,24
5907,ITFG1,19
5908,QRICH2,11
5909,FOXJ1,9
5910,SEC14L1,21
5911,RHBDF2,16
5912,AANAT,7
5913,ARHGEF6,23
5914,MAP7D3,15
5915,FGF13,3
5916,ASH2L,19
5917,TTI2,18
5918,ART1,0
5919,CHRNA10,10
5920,CDKN1C,9
5921,SGO1,19
5922,CDH15,4
5923,KLF16,12
5924,PGAP6,20
5925,DOHH,17
5926,MAU2,12
5927,SHC2,4
5928,PLPPR3,4
5929,LBP,4
5930,SYT5,5
5931,TNNI3,6
5932,CBFA2T3,9
5933,GAMT,14
5934,PUDP,11
5935,ERMARD,15
5936,PHF10,23
5937,PRRG3,1
5938,GALNT8,10
5939,KCNA5,0
5940,CRACR2A,18
5941,NXNL2,5
5942,STARD8,12
5943,NALF2,9
5944,GDPD2,8
5945,SAT1,20
5946,GNL3L,20
5947,SH3BP4,7
5948,MOSPD2,17
5949,DOCK6,9
5950,ECSIT,18
5951,LDLR,16
5952,ELOF1,20
5953,TSPAN16,1
5954,ANGPTL8,1
5955,PRKCSH,21
5956,CNN1,4
5957,CDC16,22
5958,ZSCAN10,7
5959,THEM6,13
5960,NECTIN2,7
5961,APOE,8
5962,TOMM40,19
5963,APOC1,5
5964,GADD45G,15
5965,LRCH2,3
5966,DPP6,0
5967,XPO7,19
5968,ACE2,5
5969,FAM98C,11
5970,SAFB2,21
5971,ATP8B3,13
5972,NCAN,6
5973,KIF1A,7
5974,GTPBP3,17
5975,PLVAP,6
5976,BST2,24
5977,SLC27A1,9
5978,NSUN5,14
5979,USHBP1,7
5980,COLGALT1,21
5981,DDA1,19
5982,PGLS,18
5983,LSM7,23
5984,TULP4,16
5985,SNX9,20
5986,RTN4IP1,13
5987,QRSL1,16
5988,MTRES1,14
5989,RSPH3,12
5990,MAS1,2
5991,ACSBG2,5
5992,MLLT1,20
5993,FUT5,8
5994,BMP15,1
5995,AFDN,19
5996,ACTN4,22
5997,STK33,10
5998,NDUFA10,23
5999,EPO,7
6000,ARPC1B,24
6001,CACNG6,2
6002,ZSWIM6,14
6003,FCHO1,20
6004,UNC13A,5
6005,MAP1S,20
6006,KLHDC7B,12
6007,PXDN,9
6008,SSBP4,13
6009,GDF15,7
6010,PGPEP1,16
6011,IQCN,11
6012,LSM4,24
6013,JUND,24
6014,HRC,3
6015,TRPM4,7
6016,SULT4A1,6
6017,ZNF557,16
6018,CRB3,7
6019,OLFM1,9
6020,CAMSAP1,15
6021,UBAC1,19
6022,SAG,7
6023,ZBTB46,9
6024,HELZ2,13
6025,SAMD10,12
6026,LSP1,24
6027,TNNT3,10
6028,TNNI2,7
6029,COL5A1,6
6030,ATXN10,22
6031,TUBGCP2,21
6032,CALY,3
6033,CYP2E1,8
6034,PNPLA7,11
6035,HBZ,1
6036,PAK4,12
6037,MNX1,7
6038,ZNF337,15
6039,CEP85,18
6040,TAF4,17
6041,GATA5,3
6042,RBBP8NL,0
6043,LAMA5,8
6044,OSBPL2,14
6045,ADRM1,23
6046,ASS1,10
6047,EXOSC2,18
6048,POMT1,13
6049,UCK1,18
6050,FIBCD1,4
6051,CHMP2A,23
6052,UBE2M,16
6053,TRIM28,18
6054,METTL26,23
6055,YIPF2,15
6056,ATG4D,14
6057,EIF2S3,23
6058,TMEM160,19
6059,ZC3H4,23
6060,NPAS1,7
6061,GMFG,23
6062,MAP3K10,14
6063,ARHGEF16,4
6064,LRRC47,20
6065,SESN2,15
6066,SMPDL3B,9
6067,ATP5IF1,20
6068,MED18,20
6069,THEMIS2,19
6070,CLIP1,21
6071,CCDC62,9
6072,HIP1R,15
6073,ZNF317,16
6074,PPAN,20
6075,EIF3G,17
6076,ANGPTL6,12
6077,SHFL,17
6078,DNMT1,23
6079,ZNF426,15
6080,SLC6A8,10
6081,PNCK,8
6082,DKC1,23
6083,PLXNA3,14
6084,DUSP9,7
6085,MPP1,18
6086,ZNF331,14
6087,ZNF236,16
6088,SLC7A10,1
6089,LRP3,8
6090,MTRFR,16
6091,NOL11,22
6092,UBE4B,16
6093,CASZ1,13
6094,PKDREJ,1
6095,HSD17B3,3
6096,HABP4,19
6097,FBP2,3
6098,SLC35D2,15
6099,PRRG1,3
6100,UBA1,20
6101,RGN,4
6102,POLN,9
6103,PPIL4,18
6104,ULBP2,9
6105,AKAP12,9
6106,SYNE1,12
6107,ULBP3,9
6108,LATS1,21
6109,EPS8L1,10
6110,LILRB2,2
6111,AAR2,16
6112,TTLL9,3
6113,BPIFA2,0
6114,RBM39,22
6115,COX4I2,5
6116,BPIFA3,0
6117,ZNF341,12
6118,GGT7,10
6119,DEFB118,1
6120,ACSS2,15
6121,EDA2R,11
6122,ARHGEF9,14
6123,C1QL1,8
6124,GFAP,2
6125,PYY,5
6126,HIGD1B,3
6127,ATP6V1E1,23
6128,ZNF227,16
6129,ZNF428,14
6130,TEX101,0
6131,ZNF141,13
6132,CCL25,8
6133,COX4I1,24
6134,EMC8,19
6135,GSE1,14
6136,GINS2,20
6137,CHMP1A,21
6138,SH3BGRL,22
6139,COX7B,16
6140,SLC34A1,9
6141,F12,8
6142,PRR7,15
6143,NFATC1,19
6144,IDO1,2
6145,GJA9,4
6146,CAP1,14
6147,PPT1,24
6148,RAB11FIP4,17
6149,RLIM,20
6150,CDX4,0
6151,ABCB7,21
6152,TRAF3,22
6153,HAUS8,14
6154,ADGRE3,2
6155,SH3BP5,21
6156,HACL1,12
6157,TBC1D5,17
6158,CAPN7,15
6159,RFTN1,21
6160,C3orf20,7
6161,RBSN,9
6162,GALNT15,5
6163,SLC6A6,20
6164,KCNC3,12
6165,NAPSA,11
6166,NR1H2,22
6167,LRRC4B,6
6168,PDLIM4,10
6169,KIF3A,20
6170,MGAT1,23
6171,GFPT2,8
6172,TUBG1,19
6173,PSME3,20
6174,PSMC3IP,15
6175,AOC3,7
6176,ACLY,22
6177,VPS25,22
6178,RAMP2,6
6179,AOC2,11
6180,G6PC1,3
6181,NDUFA2,24
6182,ANKHD1,23
6183,DIAPH1,24
6184,NDFIP1,24
6185,UBE2D2,22
6186,EXOC4,18
6187,ACAP3,16
6188,C1orf159,12
6189,ANO1,3
6190,TMEM204,18
6191,KREMEN2,6
6192,THOC6,20
6193,TRAF7,18
6194,BARX1,9
6195,NINJ1,23
6196,CA6,11
6197,NPHP4,12
6198,MAP1B,7
6199,IL13RA1,8
6200,WDR44,15
6201,CKMT2,8
6202,ZCCHC9,22
6203,KRT34,3
6204,KRT33B,1
6205,TNS4,7
6206,TOP2A,23
6207,STARD3,19
6208,RARA,22
6209,PPP1R1B,3
6210,KHDRBS3,9
6211,PEX11B,17
6212,FMO5,8
6213,PIAS3,13
6214,PRKAB2,13
6215,FSHB,0
6216,PDHA1,23
6217,RAI2,8
6218,MCCC2,20
6219,ZNF304,12
6220,ZSCAN5A,11
6221,ZNF132,12
6222,USP29,1
6223,SELENOS,20
6224,CHSY1,23
6225,SNRPA1,19
6226,LLGL1,18
6227,NR0B2,3
6228,LIN28A,8
6229,THAP1,16
6230,RHPN2,11
6231,C19orf12,22
6232,FAAP24,13
6233,LRRC9,3
6234,ACTR10,20
6235,ABHD12B,3
6236,GCH1,13
6237,LGALS3,22
6238,PODNL1,7
6239,DNAJB1,16
6240,ZSWIM4,11
6241,FBXW9,12
6242,RFX1,16
6243,ZNF20,10
6244,BRME1,10
6245,DCAF15,20
6246,CC2D1A,16
6247,RTBDN,5
6248,MATN3,5
6249,TRIM21,19
6250,SPATA6,8
6251,LRRC41,22
6252,CCT6B,11
6253,DHX30,21
6254,RAF1,20
6255,SLC6A11,3
6256,PPARG,13
6257,NUP210,23
6258,FCRLA,4
6259,ENOSF1,17
