var_index,gene,bin
324,NUB1,20
325,PGM3,14
326,RWDD2A,11
327,CLK1,22
328,POLR3B,14
329,ANGEL1,15
330,RNF14,17
331,DNASE1L1,15
332,DDX11,10
333,HEBP1,13
334,GPRC5A,8
335,MAMLD1,14
336,CD6,24
337,TACC3,24
338,UFL1,15
339,POLA2,19
340,ZC3H3,17
341,CAPN1,22
342,ACP3,4
343,MDH1,18
344,SLC30A9,20
345,MTMR11,9
346,COX15,19
347,CCDC88C,22
348,YAF2,19
349,ZMYND11,19
350,WAS,23
351,DPEP1,4
352,BID,16
353,NPC1L1,6
354,XYLT2,19
355,STMN4,6
356,NUDCD3,19
357,ISL1,5
358,CHDH,11
359,IL20RA,3
360,CLCA1,4
361,CLCA4,1
362,GLT8D1,16
363,ATP2C1,22
364,IGF1,12
365,SLC38A5,22
366,RALBP1,21
367,RUFY3,12
368,CNTN1,2
369,SLC11A1,4
370,WWTR1,9
371,AGPS,23
372,STEEP1,18
373,ATP1A2,1
374,TTC27,20
375,ZNF582,10
376,VSIG2,8
377,PHLDB1,9
378,MARCO,0
379,CYP24A1,6
380,PRDM11,8
381,SYT13,1
382,SNAI2,5
383,CD74,24
384,HGF,5
385,ZRANB1,18
386,NCDN,16
387,ADGRA2,8
388,ZFP64,15
389,MNAT1,20
390,SAMD4A,10
391,RUNX3,23
392,MRE11,18
393,PLEKHB1,11
394,SERPINB1,24
395,CYP3A43,5
396,SLC7A9,6
397,SPAST,18
398,NRXN3,4
399,OSBPL5,8
400,AQR,20
401,CPS1,8
402,C8B,2
403,FHL1,11
404,RTF2,22
405,GABRA1,1
406,NLRP2,14
407,SLC45A4,11
408,RNF10,23
409,ZNF839,14
410,ZDHHC6,22
411,GRAMD1B,23
412,RNH1,22
413,NDUFS1,21
414,RB1CC1,18
415,ERP44,22
416,ALAS1,19
417,BIRC3,24
418,AKAP11,22
419,GLRX2,19
420,SNAPC1,16
421,DERA,19
422,STRAP,23
423,ABCC2,10
424,DEF6,22
425,PLEKHO1,21
426,GCLM,20
427,UBR2,23
428,EHD2,9
429,DEPDC1,18
430,CCDC28A,17
431,RRAGD,13
432,HSF2,16
433,PHF20,16
434,HSD17B6,11
435,NR1H3,13
436,TYMP,20
437,NCAPH2,21
438,TOMM34,21
439,SEC63,20
440,KPNA6,22
441,VIM,24
442,FAS,21
443,RNASET2,17
444,CD44,24
445,KCNG1,10
446,AGPAT4,15
447,SLAMF7,17
448,BTN3A1,14
449,MIPEP,13
450,PRKCH,23
451,INSRR,7
452,IFNGR1,18
453,B4GALT7,17
454,SH2D2A,23
455,VRK2,17
456,TNFRSF1B,24
457,VEZT,18
458,POU2F2,19
459,BRD9,19
460,SNX1,24
461,TBPL1,18
462,BMAL2,21
463,BCLAF1,17
464,SLC39A9,20
465,ANK1,14
466,IBSP,0
467,TFB1M,17
468,RABEP1,22
469,HMGB3,11
470,NUP160,19
471,BAK1,23
472,MUSK,0
473,IKZF2,12
474,GRN,17
